Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/register,60,0,6600.0,7247.710263100089,1648.4034989989595,14900.029568998434,134.0,0.9969525665302325,0.0,6600,7500,8600,9100,10000,11000,15000,15000,15000,15000,15000
POST,/api/v1/auth/token,60,0,2800.0,3103.601242199875,603.5849480031175,8401.34392100299,204.0,0.9969525665302325,0.0,2800,4000,4100,4300,5600,5800,7500,8400,8400,8400,8400
GET,/api/v1/carts,48,0,25,697.9166026872008,9.227745002135634,13877.509571997507,93.8125,0.797562053224186,0.0,26,200,380,480,790,5400,14000,14000,14000,14000,14000
POST,/api/v1/carts/add,57,0,65,1188.05223710571,33.55964199727168,10085.49289599614,251.87719298245614,0.9471049382037209,0.0,65,720,1200,1600,4500,8500,9100,10000,10000,10000,10000
POST,/api/v1/orders/from-cart,4,0,15000.0,17181.44768199818,5994.305164000252,27279.759866993118,573.0,0.06646350443534883,0.0,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,/api/v1/orders/my,62,0,49,1434.2191777103571,11.447100005170796,13222.382552005001,8.580645161290322,1.030184318747907,0.0,52,360,1300,2000,4700,8400,10000,13000,13000,13000,13000
GET,/api/v1/products/10,4,0,21,2579.464648000794,18.567670005722903,9478.707989997929,207.0,0.06646350443534883,0.0,800,800,9500,9500,9500,9500,9500,9500,9500,9500,9500
GET,/api/v1/products/12,2,0,25,6902.438145501947,24.894500005757436,13779.981790998136,667.0,0.033231752217674417,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v1/products/13,3,0,28,332.4178879993269,24.277896001876798,944.5877089965506,504.0,0.04984762832651163,0.0,28,28,940,940,940,940,940,940,940,940,940
GET,/api/v1/products/14,2,0,19.49242200498702,22.08180300294771,19.49242200498702,24.671184000908397,790.0,0.033231752217674417,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/v1/products/15,4,0,31,1294.7447710012057,20.339401002274826,4288.671547001286,741.0,0.06646350443534883,0.0,840,840,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/api/v1/products/16,2,0,33,4040.995280000061,32.88462800264824,8049.105931997474,721.0,0.033231752217674417,0.0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
GET,/api/v1/products/17,5,0,2000.0,3402.9446892032865,18.509041001379956,10741.037327003141,126.0,0.08307938054418604,0.0,2000,4200,4200,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/products/20,1,0,24.350706000404898,24.350706000404898,24.350706000404898,24.350706000404898,128.0,0.016615876108837208,0.0,24,24,24,24,24,24,24,24,24,24,24
GET,/api/v1/products/21,5,0,2400.0,3653.0230518008466,20.68349400360603,9782.660543998645,129.0,0.08307938054418604,0.0,2400,6000,6000,9800,9800,9800,9800,9800,9800,9800,9800
GET,/api/v1/products/24,6,0,26,1925.9293678320926,17.72573999915039,9663.903540997126,129.0,0.09969525665302326,0.0,810,810,1000,1000,9700,9700,9700,9700,9700,9700,9700
GET,/api/v1/products/25,1,0,38.46319699368905,38.46319699368905,38.46319699368905,38.46319699368905,132.0,0.016615876108837208,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/api/v1/products/26,3,0,170.0,578.892153998216,18.74348099954659,1550.345418996585,116.0,0.04984762832651163,0.0,170,170,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/api/v1/products/27,1,0,2152.919631000259,2152.919631000259,2152.919631000259,2152.919631000259,116.0,0.016615876108837208,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/products/28,5,0,930.0,6240.827471799275,29.988968002726324,15782.451232997118,123.0,0.08307938054418604,0.0,930,14000,14000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/v1/products/29,2,0,29,270.2164604961581,28.9252239963389,511.5076969959773,124.0,0.033231752217674417,0.0,510,510,510,510,510,510,510,510,510,510,510
GET,/api/v1/products/30,4,0,18,3952.828791749198,13.163757997972425,15750.588240996876,124.0,0.06646350443534883,0.0,30,30,16000,16000,16000,16000,16000,16000,16000,16000,16000
GET,/api/v1/products/31,2,0,18.378275002760347,4950.302068002202,18.378275002760347,9882.225861001643,130.0,0.033231752217674417,0.0,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
GET,/api/v1/products/32,4,0,22,190.77243999890925,21.91268499882426,647.9771999947843,131.0,0.06646350443534883,0.0,71,71,650,650,650,650,650,650,650,650,650
GET,/api/v1/products/33,6,0,140.0,3290.497290666584,22.876874994835816,11255.370090002543,131.0,0.09969525665302326,0.0,160,160,8100,8100,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/products/34,2,0,38,523.6526359985874,37.76460099470569,1009.540671002469,130.0,0.033231752217674417,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/v1/products/35,4,0,34,464.7659192505671,13.789386001008097,920.1990380024654,130.0,0.06646350443534883,0.0,890,890,920,920,920,920,920,920,920,920,920
GET,/api/v1/products/36,7,0,22,283.3496315735309,15.353718001279049,724.2596200012485,130.0,0.11631113276186046,0.0,22,510,680,680,720,720,720,720,720,720,720
GET,/api/v1/products/37,1,0,3496.0408580009243,3496.0408580009243,3496.0408580009243,3496.0408580009243,130.0,0.016615876108837208,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GET,/api/v1/products/38,1,0,23.201142001198605,23.201142001198605,23.201142001198605,23.201142001198605,130.0,0.016615876108837208,0.0,23,23,23,23,23,23,23,23,23,23,23
GET,/api/v1/products/39,6,0,58,2750.0105046662306,18.555782997282222,13049.405380996177,130.0,0.09969525665302326,0.0,820,820,2500,2500,13000,13000,13000,13000,13000,13000,13000
GET,/api/v1/products/4,8,0,390.0,1544.988902624027,19.825720999506302,8840.570192995074,134.0,0.13292700887069767,0.0,810,1000,1200,1200,8800,8800,8800,8800,8800,8800,8800
