Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751460721,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751460722,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751460723,10,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2,0,1648.4034989989595,1773.3029229966633,1648.4034989989595,1898.202346994367,134.0
1751460724,15,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2,0,1648.4034989989595,1773.3029229966633,1648.4034989989595,1898.202346994367,134.0
1751460725,20,,Aggregated,0.500000,0.000000,2200,2200,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,1900.0,2203.4198872479465,1648.4034989989595,3065.788528001576,151.5
1751460726,20,,Aggregated,0.500000,0.000000,2200,2200,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,1900.0,2203.4198872479465,1648.4034989989595,3065.788528001576,151.5
1751460727,20,,Aggregated,0.500000,0.000000,2200,2200,3100,3100,3100,3100,3100,3100,3100,3100,3100,4,0,1900.0,2203.4198872479465,1648.4034989989595,3065.788528001576,151.5
1751460728,20,,Aggregated,0.800000,0.000000,3900,4800,4800,4800,6600,6600,6600,6600,6600,6600,6600,8,0,3100.0,3611.414065749159,1648.4034989989595,6572.791733000486,142.75
1751460729,20,,Aggregated,0.666667,0.000000,4800,6200,6200,6600,6900,7200,7200,7200,7200,7200,7200,14,0,4800.0,4479.707461927838,1286.708515995997,7166.859017001116,144.0
1751460730,20,,Aggregated,0.666667,0.000000,4800,6200,6600,6900,7200,7300,7300,7300,7300,7300,7300,15,0,4800.0,4669.403390132841,1286.708515995997,7325.146385002881,143.33333333333334
1751460731,20,,Aggregated,0.714286,0.000000,4800,6200,6600,6900,7300,7500,7500,7500,7500,7500,7500,18,0,4800.0,4562.813967555283,1286.708515995997,7464.783700997941,153.44444444444446
